FirstName,LastName,Email,HouseAffiliation,YearLevel,CurrentCredits,MaxCreditsAllowed,CompletedCourses
Harry,Potter,hpotter@hogwarts.edu,Gryffindor,4,12,18,DADA-201|TRNS-101|CHRM-101|POTN-101|HERB-101|FLIGHT-101
Hermione,Granger,hgranger@hogwarts.edu,Gryffindor,4,15,18,DADA-201|TRNS-201|CHRM-101|POTN-201|HERB-101|ASTR-101|ANCT-201|FLIGHT-101
Ron,Weasley,rweasley@hogwarts.edu,Gryffindor,4,9,18,DADA-201|TRNS-101|CHRM-101|FLIGHT-101|CRTR-101
Draco,Malfoy,dmalfoy@hogwarts.edu,Slytherin,4,12,18,DADA-201|POTN-201|TRNS-101|CHRM-101|FLIGHT-101
Luna,Lovegood,llovegood@hogwarts.edu,Ravenclaw,3,9,18,CHRM-101|CRTR-101|ASTR-101|FLIGHT-101
Neville,Longbottom,nlongbottom@hogwarts.edu,Gryffindor,4,12,18,HERB-101|TRNS-101|CHRM-101|POTN-101|FLIGHT-101
Ginny,Weasley,gweasley@hogwarts.edu,Gryffindor,3,6,18,CHRM-101|TRNS-101|FLIGHT-101
Cho,Chang,cchang@hogwarts.edu,Ravenclaw,5,15,18,DADA-201|TRNS-201|CHRM-101|ASTR-101|ANCT-201|FLIGHT-101
Cedric,Diggory,cdiggory@hogwarts.edu,Hufflepuff,6,18,18,DADA-301|TRNS-301|POTN-201|CHRM-101|HERB-101|CRTR-101|FLIGHT-101
Fred,Weasley,fweasley@hogwarts.edu,Gryffindor,6,12,18,CHRM-101|TRNS-101|POTN-101|FLIGHT-101
George,Weasley,gweasley2@hogwarts.edu,Gryffindor,6,12,18,CHRM-101|TRNS-101|POTN-101|FLIGHT-101
Padma,Patil,ppatil@hogwarts.edu,Ravenclaw,4,12,18,TRNS-101|CHRM-101|ASTR-101|DIVN-101|FLIGHT-101
Parvati,Patil,ppatil2@hogwarts.edu,Gryffindor,4,9,18,TRNS-101|CHRM-101|DIVN-101|FLIGHT-101
Dean,Thomas,dthomas@hogwarts.edu,Gryffindor,4,12,18,DADA-201|CHRM-101|HIST-201|MGGL-201|FLIGHT-101
Seamus,Finnigan,sfinnigan@hogwarts.edu,Gryffindor,4,9,18,DADA-201|CHRM-101|POTN-101|FLIGHT-101
Lavender,Brown,lbrown@hogwarts.edu,Gryffindor,4,9,18,CHRM-101|DIVN-101|HERB-101|FLIGHT-101
Pansy,Parkinson,pparkinson@hogwarts.edu,Slytherin,4,9,18,POTN-101|TRNS-101|CHRM-101|FLIGHT-101
Blaise,Zabini,bzabini@hogwarts.edu,Slytherin,4,12,18,DADA-201|POTN-101|TRNS-101|CHRM-101|FLIGHT-101
Hannah,Abbott,habbott@hogwarts.edu,Hufflepuff,4,12,18,HERB-101|CHRM-101|POTN-101|HIST-201|FLIGHT-101
Susan,Bones,sbones@hogwarts.edu,Hufflepuff,4,9,18,DADA-201|HERB-101|CHRM-101|FLIGHT-101
Terry,Boot,tboot@hogwarts.edu,Ravenclaw,4,15,18,ANCT-201|ASTR-101|CHRM-101|TRNS-101|HIST-201|FLIGHT-101
Michael,Corner,mcorner@hogwarts.edu,Ravenclaw,4,12,18,ASTR-101|TRNS-101|CHRM-101|DADA-201|FLIGHT-101
Anthony,Goldstein,agoldstein@hogwarts.edu,Ravenclaw,4,12,18,ANCT-201|CHRM-101|HIST-201|ASTR-101|FLIGHT-101
Colin,Creevey,ccreevey@hogwarts.edu,Gryffindor,2,3,18,CHRM-101|FLIGHT-101
Dennis,Creevey,dcreevey@hogwarts.edu,Gryffindor,1,0,18,
